"label","n","parent","id"
"Cyprus",12,"Reality TV","Reality TV  -  Cyprus"
"Cyprus",89,"Romance","Romance  -  Cyprus"
"Cyprus",45,"Sci Fi","Sci Fi  -  Cyprus"
"Cyprus",3,"Short","Short  -  Cyprus"
"Cyprus",9,"Sport","Sport  -  Cyprus"
"Cyprus",11,"Talk Show","Talk Show  -  Cyprus"
"Cyprus",55,"Thriller","Thriller  -  Cyprus"
"Cyprus",4,"War","War  -  Cyprus"
"Cyprus",1,"Western","Western  -  Cyprus"
"Czech Republic",202,"Action","Action  -  Czech Republic"
"Czech Republic",2,"Adult","Adult  -  Czech Republic"
"Czech Republic",152,"Adventure","Adventure  -  Czech Republic"
"Czech Republic",84,"Animation","Animation  -  Czech Republic"
"Czech Republic",14,"Biography","Biography  -  Czech Republic"
"Czech Republic",188,"Comedy","Comedy  -  Czech Republic"
"Czech Republic",125,"Crime","Crime  -  Czech Republic"
"Czech Republic",25,"Documentary","Documentary  -  Czech Republic"
"Czech Republic",296,"Drama","Drama  -  Czech Republic"
"Czech Republic",27,"Family","Family  -  Czech Republic"
"Czech Republic",50,"Fantasy","Fantasy  -  Czech Republic"
"Czech Republic",3,"Film Noir","Film Noir  -  Czech Republic"
"Czech Republic",12,"Game Show","Game Show  -  Czech Republic"
"Czech Republic",6,"History","History  -  Czech Republic"
"Czech Republic",37,"Horror","Horror  -  Czech Republic"
"Czech Republic",2,"Music","Music  -  Czech Republic"
"Czech Republic",54,"Mystery","Mystery  -  Czech Republic"
"Czech Republic",17,"Reality TV","Reality TV  -  Czech Republic"
"Czech Republic",72,"Romance","Romance  -  Czech Republic"
"Czech Republic",15,"Sci Fi","Sci Fi  -  Czech Republic"
"Czech Republic",11,"Sport","Sport  -  Czech Republic"
"Czech Republic",10,"Talk Show","Talk Show  -  Czech Republic"
"Czech Republic",43,"Thriller","Thriller  -  Czech Republic"
"Czech Republic",3,"War","War  -  Czech Republic"
"Czech Republic",3,"Western","Western  -  Czech Republic"
"Denmark",187,"Action","Action  -  Denmark"
"Denmark",2,"Adult","Adult  -  Denmark"
"Denmark",124,"Adventure","Adventure  -  Denmark"
"Denmark",58,"Animation","Animation  -  Denmark"
"Denmark",14,"Biography","Biography  -  Denmark"
"Denmark",179,"Comedy","Comedy  -  Denmark"
"Denmark",136,"Crime","Crime  -  Denmark"
"Denmark",23,"Documentary","Documentary  -  Denmark"
"Denmark",315,"Drama","Drama  -  Denmark"
"Denmark",23,"Family","Family  -  Denmark"
"Denmark",42,"Fantasy","Fantasy  -  Denmark"
"Denmark",3,"Film Noir","Film Noir  -  Denmark"
"Denmark",11,"Game Show","Game Show  -  Denmark"
"Denmark",8,"History","History  -  Denmark"
"Denmark",29,"Horror","Horror  -  Denmark"
"Denmark",1,"Music","Music  -  Denmark"
"Denmark",1,"Musical","Musical  -  Denmark"
"Denmark",50,"Mystery","Mystery  -  Denmark"
"Denmark",24,"Reality TV","Reality TV  -  Denmark"
"Denmark",83,"Romance","Romance  -  Denmark"
"Denmark",18,"Sci Fi","Sci Fi  -  Denmark"
"Denmark",10,"Sport","Sport  -  Denmark"
"Denmark",7,"Talk Show","Talk Show  -  Denmark"
"Denmark",58,"Thriller","Thriller  -  Denmark"
"Denmark",11,"War","War  -  Denmark"
"Denmark",4,"Western","Western  -  Denmark"
"Dominican Republic",188,"Action","Action  -  Dominican Republic"
"Dominican Republic",4,"Adult","Adult  -  Dominican Republic"
"Dominican Republic",116,"Adventure","Adventure  -  Dominican Republic"
"Dominican Republic",49,"Animation","Animation  -  Dominican Republic"
"Dominican Republic",3,"Biography","Biography  -  Dominican Republic"
"Dominican Republic",154,"Comedy","Comedy  -  Dominican Republic"
"Dominican Republic",110,"Crime","Crime  -  Dominican Republic"
"Dominican Republic",12,"Documentary","Documentary  -  Dominican Republic"
"Dominican Republic",276,"Drama","Drama  -  Dominican Republic"
"Dominican Republic",19,"Family","Family  -  Dominican Republic"
"Dominican Republic",35,"Fantasy","Fantasy  -  Dominican Republic"
"Dominican Republic",2,"Film Noir","Film Noir  -  Dominican Republic"
"Dominican Republic",2,"Game Show","Game Show  -  Dominican Republic"
"Dominican Republic",5,"History","History  -  Dominican Republic"
"Dominican Republic",33,"Horror","Horror  -  Dominican Republic"
"Dominican Republic",31,"Music","Music  -  Dominican Republic"
"Dominican Republic",1,"Musical","Musical  -  Dominican Republic"
"Dominican Republic",46,"Mystery","Mystery  -  Dominican Republic"
"Dominican Republic",3,"Reality TV","Reality TV  -  Dominican Republic"
"Dominican Republic",83,"Romance","Romance  -  Dominican Republic"
"Dominican Republic",27,"Sci Fi","Sci Fi  -  Dominican Republic"
"Dominican Republic",2,"Short","Short  -  Dominican Republic"
"Dominican Republic",5,"Sport","Sport  -  Dominican Republic"
"Dominican Republic",5,"Talk Show","Talk Show  -  Dominican Republic"
"Dominican Republic",77,"Thriller","Thriller  -  Dominican Republic"
"Dominican Republic",3,"War","War  -  Dominican Republic"
"Ecuador",157,"Action","Action  -  Ecuador"
"Ecuador",4,"Adult","Adult  -  Ecuador"
"Ecuador",124,"Adventure","Adventure  -  Ecuador"
"Ecuador",70,"Animation","Animation  -  Ecuador"
"Ecuador",1,"Biography","Biography  -  Ecuador"
"Ecuador",200,"Comedy","Comedy  -  Ecuador"
"Ecuador",81,"Crime","Crime  -  Ecuador"
"Ecuador",12,"Documentary","Documentary  -  Ecuador"
"Ecuador",271,"Drama","Drama  -  Ecuador"
"Ecuador",18,"Family","Family  -  Ecuador"
"Ecuador",26,"Fantasy","Fantasy  -  Ecuador"
"Ecuador",2,"Film Noir","Film Noir  -  Ecuador"
"Ecuador",2,"History","History  -  Ecuador"
"Ecuador",33,"Horror","Horror  -  Ecuador"
"Ecuador",30,"Music","Music  -  Ecuador"
"Ecuador",1,"Musical","Musical  -  Ecuador"
"Ecuador",41,"Mystery","Mystery  -  Ecuador"
"Ecuador",3,"Reality TV","Reality TV  -  Ecuador"
"Ecuador",102,"Romance","Romance  -  Ecuador"
"Ecuador",24,"Sci Fi","Sci Fi  -  Ecuador"
"Ecuador",6,"Sport","Sport  -  Ecuador"
