"parents","n","labels","id"
"Croatia",12,"Talk Show","Croatia  -  Talk Show"
"Croatia",57,"Thriller","Croatia  -  Thriller"
"Croatia",4,"War","Croatia  -  War"
"Croatia",2,"Western","Croatia  -  Western"
"Cyprus",210,"Action","Cyprus  -  Action"
"Cyprus",2,"Adult","Cyprus  -  Adult"
"Cyprus",138,"Adventure","Cyprus  -  Adventure"
"Cyprus",52,"Animation","Cyprus  -  Animation"
"Cyprus",7,"Biography","Cyprus  -  Biography"
"Cyprus",190,"Comedy","Cyprus  -  Comedy"
"Cyprus",126,"Crime","Cyprus  -  Crime"
"Cyprus",16,"Documentary","Cyprus  -  Documentary"
"Cyprus",328,"Drama","Cyprus  -  Drama"
"Cyprus",32,"Family","Cyprus  -  Family"
"Cyprus",34,"Fantasy","Cyprus  -  Fantasy"
"Cyprus",3,"Film Noir","Cyprus  -  Film Noir"
"Cyprus",8,"Game Show","Cyprus  -  Game Show"
"Cyprus",4,"History","Cyprus  -  History"
"Cyprus",26,"Horror","Cyprus  -  Horror"
"Cyprus",2,"Music","Cyprus  -  Music"
"Cyprus",52,"Mystery","Cyprus  -  Mystery"
"Cyprus",12,"Reality TV","Cyprus  -  Reality TV"
"Cyprus",89,"Romance","Cyprus  -  Romance"
"Cyprus",45,"Sci Fi","Cyprus  -  Sci Fi"
"Cyprus",3,"Short","Cyprus  -  Short"
"Cyprus",9,"Sport","Cyprus  -  Sport"
"Cyprus",11,"Talk Show","Cyprus  -  Talk Show"
"Cyprus",55,"Thriller","Cyprus  -  Thriller"
"Cyprus",4,"War","Cyprus  -  War"
"Cyprus",1,"Western","Cyprus  -  Western"
"Czech Republic",202,"Action","Czech Republic  -  Action"
"Czech Republic",2,"Adult","Czech Republic  -  Adult"
"Czech Republic",152,"Adventure","Czech Republic  -  Adventure"
"Czech Republic",84,"Animation","Czech Republic  -  Animation"
"Czech Republic",14,"Biography","Czech Republic  -  Biography"
"Czech Republic",188,"Comedy","Czech Republic  -  Comedy"
"Czech Republic",125,"Crime","Czech Republic  -  Crime"
"Czech Republic",25,"Documentary","Czech Republic  -  Documentary"
"Czech Republic",296,"Drama","Czech Republic  -  Drama"
"Czech Republic",27,"Family","Czech Republic  -  Family"
"Czech Republic",50,"Fantasy","Czech Republic  -  Fantasy"
"Czech Republic",3,"Film Noir","Czech Republic  -  Film Noir"
"Czech Republic",12,"Game Show","Czech Republic  -  Game Show"
"Czech Republic",6,"History","Czech Republic  -  History"
"Czech Republic",37,"Horror","Czech Republic  -  Horror"
"Czech Republic",2,"Music","Czech Republic  -  Music"
"Czech Republic",54,"Mystery","Czech Republic  -  Mystery"
"Czech Republic",17,"Reality TV","Czech Republic  -  Reality TV"
"Czech Republic",72,"Romance","Czech Republic  -  Romance"
"Czech Republic",15,"Sci Fi","Czech Republic  -  Sci Fi"
"Czech Republic",11,"Sport","Czech Republic  -  Sport"
"Czech Republic",10,"Talk Show","Czech Republic  -  Talk Show"
"Czech Republic",43,"Thriller","Czech Republic  -  Thriller"
"Czech Republic",3,"War","Czech Republic  -  War"
"Czech Republic",3,"Western","Czech Republic  -  Western"
"Denmark",187,"Action","Denmark  -  Action"
"Denmark",2,"Adult","Denmark  -  Adult"
"Denmark",124,"Adventure","Denmark  -  Adventure"
"Denmark",58,"Animation","Denmark  -  Animation"
"Denmark",14,"Biography","Denmark  -  Biography"
"Denmark",179,"Comedy","Denmark  -  Comedy"
"Denmark",136,"Crime","Denmark  -  Crime"
"Denmark",23,"Documentary","Denmark  -  Documentary"
"Denmark",315,"Drama","Denmark  -  Drama"
"Denmark",23,"Family","Denmark  -  Family"
"Denmark",42,"Fantasy","Denmark  -  Fantasy"
"Denmark",3,"Film Noir","Denmark  -  Film Noir"
"Denmark",11,"Game Show","Denmark  -  Game Show"
"Denmark",8,"History","Denmark  -  History"
"Denmark",29,"Horror","Denmark  -  Horror"
