"id","n","label","parent"
"total  -  Thriller  -  Cyprus",55,"Cyprus","total  -  Thriller"
"total  -  Action  -  Czech Republic",202,"Czech Republic","total  -  Action"
"total  -  Adventure  -  Czech Republic",152,"Czech Republic","total  -  Adventure"
"total  -  Animation  -  Czech Republic",84,"Czech Republic","total  -  Animation"
"total  -  Comedy  -  Czech Republic",188,"Czech Republic","total  -  Comedy"
"total  -  Crime  -  Czech Republic",125,"Czech Republic","total  -  Crime"
"total  -  Drama  -  Czech Republic",296,"Czech Republic","total  -  Drama"
"total  -  Fantasy  -  Czech Republic",50,"Czech Republic","total  -  Fantasy"
"total  -  Mystery  -  Czech Republic",54,"Czech Republic","total  -  Mystery"
"total  -  Romance  -  Czech Republic",72,"Czech Republic","total  -  Romance"
"total  -  Thriller  -  Czech Republic",43,"Czech Republic","total  -  Thriller"
"total  -  Action  -  Denmark",187,"Denmark","total  -  Action"
"total  -  Adventure  -  Denmark",124,"Denmark","total  -  Adventure"
"total  -  Animation  -  Denmark",58,"Denmark","total  -  Animation"
"total  -  Comedy  -  Denmark",179,"Denmark","total  -  Comedy"
"total  -  Crime  -  Denmark",136,"Denmark","total  -  Crime"
"total  -  Drama  -  Denmark",315,"Denmark","total  -  Drama"
"total  -  Fantasy  -  Denmark",42,"Denmark","total  -  Fantasy"
"total  -  Mystery  -  Denmark",50,"Denmark","total  -  Mystery"
"total  -  Romance  -  Denmark",83,"Denmark","total  -  Romance"
"total  -  Thriller  -  Denmark",58,"Denmark","total  -  Thriller"
"total  -  Action  -  Dominican Republic",188,"Dominican Republic","total  -  Action"
"total  -  Adventure  -  Dominican Republic",116,"Dominican Republic","total  -  Adventure"
"total  -  Animation  -  Dominican Republic",49,"Dominican Republic","total  -  Animation"
"total  -  Comedy  -  Dominican Republic",154,"Dominican Republic","total  -  Comedy"
"total  -  Crime  -  Dominican Republic",110,"Dominican Republic","total  -  Crime"
"total  -  Drama  -  Dominican Republic",276,"Dominican Republic","total  -  Drama"
"total  -  Fantasy  -  Dominican Republic",35,"Dominican Republic","total  -  Fantasy"
"total  -  Mystery  -  Dominican Republic",46,"Dominican Republic","total  -  Mystery"
